,,
Distribution of Population by Land Area ,,
Source: 2019 Kenya Population and Housing Census Volume I: Population by County and Sub-County,,
https://wwwknbsorke/?wpdmpro=2019-kenya-population-and-housing-census-volume-i-population-by-county-and-sub-county,,
"Population, Land area, Sub-county, County, Kenya",,
,,
name,Year,total
Naivasha,Land Area (Sq. Km),1958.4
Naivasha,Population,355383
Nakuru ,Land Area (Sq. Km),7462.4
Nakuru ,Population,2162202
Nakuru East,Land Area (Sq. Km),230.9
Nakuru East,Population,193926
Nakuru North,Land Area (Sq. Km),387.3
Nakuru North,Population,218050
Nakuru West,Land Area (Sq. Km),71.9
Nakuru West,Population,198661
Nambale,Land Area (Sq. Km),238.1
Nambale,Population,111636
Nandi ,Land Area (Sq. Km),2855.8
Nandi ,Population,885711
Nandi Central,Land Area (Sq. Km),362.9
Nandi Central,Population,147553
Nandi East,Land Area (Sq. Km),397.6
Nandi East,Population,119173
Nandi North,Land Area (Sq. Km),606.3
Nandi North,Population,166171
Nandi South,Land Area (Sq. Km),457.4
Nandi South,Population,172750
Narok ,Land Area (Sq. Km),17950.3
Narok ,Population,1157873
Narok East,Land Area (Sq. Km),2042
Narok East,Population,115323
Narok North,Land Area (Sq. Km),2159.4
Narok North,Population,251862
Narok South,Land Area (Sq. Km),4577.3
Narok South,Population,238472
Narok West,Land Area (Sq. Km),5563
Narok West,Population,195287
Navakholo,Land Area (Sq. Km),259.3
Navakholo,Population,153977
Ndhiwa,Land Area (Sq. Km),713.5
Ndhiwa,Population,218136
Njiru ,Land Area (Sq. Km),129.9
Njiru ,Population,626482
Njoro ,Land Area (Sq. Km),699.5
Njoro ,Population,238773
North Horr,Land Area (Sq. Km),19336.7
North Horr,Population,71447
Nyahururu,Land Area (Sq. Km),813.4
Nyahururu,Population,154704
Nyakach,Land Area (Sq. Km),326.7
Nyakach,Population,150320
Nyali,Land Area (Sq. Km),22.5
Nyali,Population,216577
Nyam ache,Land Area (Sq. Km),162.7
Nyam ache,Population,130898
Nyam ira North,Land Area (Sq. Km),215.7
Nyam ira North,Population,167267
Nyam ira South,Land Area (Sq. Km),181.5
Nyam ira South,Population,159073
Nyamira ,Land Area (Sq. Km),897.3
Nyamira ,Population,605576
Nyandarua,Land Area (Sq. Km),3285.7
Nyandarua,Population,638289
Nyandarua Central,Land Area (Sq. Km),346.6
Nyandarua Central,Population,75262
Nyandarua North,Land Area (Sq. Km),528.4
Nyandarua North,Population,98698
Nyandarua South,Land Area (Sq. Km),313.6
Nyandarua South,Population,93870
Nyandarua Wes t,Land Area (Sq. Km),384.9
Nyandarua Wes t,Population,97965
Nyando,Land Area (Sq. Km),446.1
Nyando,Population,161508
Nyatike,Land Area (Sq. Km),676.9
Nyatike,Population,176162
Nyeri ,Land Area (Sq. Km),3325
Nyeri ,Population,759164
Nyeri Central,Land Area (Sq. Km),167.6
Nyeri Central,Population,140338
Nyeri South,Land Area (Sq. Km),169.2
Nyeri South,Population,91081
Nzam bani,Land Area (Sq. Km),319.7
Nzam bani,Population,46788
Nzaui ,Land Area (Sq. Km),775.2
Nzaui ,Population,126701
Pokot Central,Land Area (Sq. Km),2055.2
Pokot Central,Population,119016
Pokot North,Land Area (Sq. Km),3910.9
Pokot North,Population,134485
Pokot South,Land Area (Sq. Km),536.7
Pokot South,Population,80661
Rabai,Land Area (Sq. Km),207.8
Rabai,Population,120813
Rachuonyo East ,Land Area (Sq. Km),250.9
Rachuonyo East ,Population,121822
Rachuonyo North,Land Area (Sq. Km),435.4
Rachuonyo North,Population,178686
Rachuonyo South,Land Area (Sq. Km),256.1
Rachuonyo South,Population,130814
Rangwe,Land Area (Sq. Km),274.1
Rangwe,Population,117732
Rarieda,Land Area (Sq. Km),402.4
Rarieda,Population,152570
Rongai,Land Area (Sq. Km),988.1
Rongai,Population,199906
Rongo,Land Area (Sq. Km),213.4
Rongo,Population,124587
Ruiru ,Land Area (Sq. Km),201.1
Ruiru ,Population,371111
Sabatia,Land Area (Sq. Km),111.4
Sabatia,Population,131628
Samburu,Land Area (Sq. Km),21065.1
Samburu,Population,310327
Samburu Central,Land Area (Sq. Km),3674.4
Samburu Central,Population,164942
Samburu East,Land Area (Sq. Km),1015.9
Samburu East,Population,77994
Samburu North,Land Area (Sq. Km),7374.8
Samburu North,Population,67391
Samburu-Kwale,Land Area (Sq. Km),2443.7
Samburu-Kwale,Population,202235
Sameta,Land Area (Sq. Km),79.1
Sameta,Population,66997
Samia ,Land Area (Sq. Km),262.4
Samia ,Population,107176
Seme ,Land Area (Sq. Km),267.7
Seme ,Population,121667
Siaya ,Land Area (Sq. Km),598.9
Siaya ,Land Area (Sq. Km),2529.8
Siaya ,Population,993183
Siaya ,Population,224343
Soin Sigowet,Land Area (Sq. Km),466.2
Soin Sigowet,Population,126500
Sololo,Land Area (Sq. Km),5995.6
Sololo,Population,44822
Sotik ,Land Area (Sq. Km),544.3
Sotik ,Population,227855
Soy ,Land Area (Sq. Km),667.6
Soy ,Population,229094
Starehe,Land Area (Sq. Km),20.6
Starehe,Population,210423
Suba North,Land Area (Sq. Km),406.3
Suba North,Population,124938
Suba South,Land Area (Sq. Km),634.1
Suba South,Population,122383
Subukia,Land Area (Sq. Km),401.5
Subukia,Population,85164
Suna East,Land Area (Sq. Km),205.1
Suna East,Population,122674
Suna West,Land Area (Sq. Km),287.5
Suna West,Population,128890
Taita,Land Area (Sq. Km),477.9
Taita,Population,55959
Taita/Taveta,Land Area (Sq. Km),17152
Taita/Taveta,Population,340671
Tana Delta,Land Area (Sq. Km),13306.1
Tana Delta,Population,116757
Tana North,Land Area (Sq. Km),15478.7
Tana North,Population,110640
Tana River,Land Area (Sq. Km),37950.5
Tana River,Land Area (Sq. Km),9165.6
Tana River,Population,315943
Tana River,Population,88546
Tarbaj ,Land Area (Sq. Km),9650.9
Tarbaj ,Population,57232
Taveta,Land Area (Sq. Km),6398.7
Taveta,Population,91222
Teso North,Land Area (Sq. Km),261
Teso North,Population,138034
Teso South,Land Area (Sq. Km),302.9
Teso South,Population,168116
Tetu ,Land Area (Sq. Km),216.5
Tetu ,Population,80453
Thagicu,Land Area (Sq. Km),362.7
Thagicu,Population,15136
Tharaka North,Land Area (Sq. Km),838.8
Tharaka North,Population,58345
Tharaka South,Land Area (Sq. Km),637
Tharaka South,Population,75250
Tharaka-Nithi,Land Area (Sq. Km),2564.4
Tharaka-Nithi,Population,393177
Thika East,Land Area (Sq. Km),109.9
Thika East,Population,38956
Thika West,Land Area (Sq. Km),91.4
Thika West,Population,245820
Tiaty East,Land Area (Sq. Km),2106.5
Tiaty East,Population,73424
Tigania Central ,Land Area (Sq. Km),237.4
Tigania Central ,Population,104730
Tigania East,Land Area (Sq. Km),507.9
Tigania East,Population,72549
Tigania West,Land Area (Sq. Km),398.6
Tigania West,Population,139961
Tinderet,Land Area (Sq. Km),557.1
Tinderet,Population,115931
Tinderet Forest* ,Land Area (Sq. Km),193.7
Tinderet Forest* ,Population,0
Tongaren,Land Area (Sq. Km),185.3
Tongaren,Population,100343
Trans Mara East ,Land Area (Sq. Km),309.8
Trans Mara East ,Population,111183
Trans Mara West,Land Area (Sq. Km),2545.9
Trans Mara West,Population,245714
Trans Nzoia,Land Area (Sq. Km),2495.2
Trans Nzoia,Population,990341
Trans Nzoia East,Land Area (Sq. Km),629.1
Trans Nzoia East,Population,229538
Trans Nzoia West,Land Area (Sq. Km),355.4
Trans Nzoia West,Population,202377
Tseikuru,Land Area (Sq. Km),1356
Tseikuru,Population,40871
Turbo,Land Area (Sq. Km),431.4
Turbo ,Population,267273
Turkana ,Land Area (Sq. Km),68232.9
Turkana ,Population,926976
Turkana Central,Land Area (Sq. Km),6415.2
